0,event,debit_project,debit_subproject,debit_amount,credit_project,credit_suproject,credit_amount
59,以现金发放本月职工工资60000元,借方:应付职工薪酬,,60000,贷方:库存现金,,60000
60,开出现金支票支付行政管理部门办公用品费1000元,借方:管理费用,,100000,贷方:银行存款 ,,100000
61,以银行存款支付车间办公用品费500元,借方:制造费用,,500,贷方:银行存款 ,,500
62,以银行存款支付车间机器设备的修理费800元,借方:制造费用,,800,贷方:银行存款 ,,800
63,车间职工回厂报销差旅费1200元，以现金支付,借方:制造费用,,1200,贷方:库存现金,,1200
64,支付银行利息2000元，已通过银行转账,借方:财务费用,,2000,贷方:银行存款 ,,2000
65,以银行存款支付销售A、B产品的广告费1000元,借方:销售费用,,1000,贷方:银行存款 ,,1000
66,结转本月销售丙材料的成本5000元,借方:其它业务成本,丙材料,5000,贷方:原材料,,5000
67,以银行存款支付汇兑手续费900元,借方:财务费用,,900,贷方:银行存款 ,,900
68,收到销售B产品的价款56160元，存入银行,借方:银行存款 ,,56160,贷方:应收账款,,56160
69,以银行存款支付外地专设销售机构的经费5000元,借方:销售费用,,5000,贷方:银行存款 ,,5000
70,红星公司通过银行预付A产品货款80000元,借方:银行存款 ,,80000,贷方:预收账款,,80000
71,接收A公司投入机器一台，价值30000元,借方:固定资产,,30000,贷方:实收资本 ,,30000
72,企业对外投资收到其它单位交来的投资收益10000元，存入银行,借方:银行存款 ,,10000,贷方:投资收益,,10000
73,按规定应支付给投资者利润5000元,借方:利润分配,应付股利,5000,贷方:应付股利,,5000
74,以银行存款支付投资者利润5000元,借方:应付股利,,5000,贷方:银行存款 ,,5000
75,开出现金支票从银行提取现金2000元备用,借方:库存现金,,2000,贷方:银行存款 ,,2000
76,用现金支付生产车间办公用品费440元,借方:制造费用,,440,贷方:库存现金,,440
77,收到盛达公司前欠货款80000元，存入银行,借方:银行存款 ,,80000,贷方:应收账款,,80000
78,接到开户银行的通知，收到光明公司前欠货款150000元,借方:银行存款 ,,150000,贷方:应收账款,,150000
79,接到开户银行的通知，胜利工厂签发并承兑的商业汇票已到期，收到胜利工厂支付的票据款120000元,借方:银行存款 ,,120000,贷方:应收票据,,120000
80,向宏达公司购买一批甲材料，按合同规定，东方公司用银行存款预付购货款50000元,借方:预付账款,宏达公司,50000,贷方:银行存款 ,,50000
81,厂部办公室张强因公出差，预借差旅费800元，付以现金,借方:其它应收款,张强,800,贷方:库存现金,,800
82,用银行存款支付公司下年度的报刊订阅费1200元,借方:待摊费用,,1200,贷方:银行存款 ,,1200
83,从市场上购入一台设备，价值100000元，设备已收到并交付生产使用，款项已通过银行支付,借方:固定资产,,100000,贷方:银行存款 ,,100000
84,用银行存款240000元从其它单位购入一项专利权,借方:无形资产,专利权,240000,贷方:银行存款 ,,240000
85,专利权分10年平均摊销，本月的摊销额为2000元,借方:管理费用,,2000,贷方:无形资产,,2000
86,东方公司原借中国银行的一笔短期借款到期，本金500000元，用银行存款归还,借方:短期借款,中国银行,500000,贷方:银行存款 ,,500000
87,用银行存款支付上述欠新华公司的购料款81900元,借方:应付账款,新华公司,81900,贷方:银行存款 ,,81900
88,用现金发放本月份职工工资24000元,借方:应付职工薪酬,,24000,贷方:库存现金,,24000
89,计提本月份应负担的短期借款利息4000元,借方:财务费用,,4000,贷方:预提费用,,4000
90,用银行存款支付第四季度的银行借款利息10000元，该利息已按月预提,借方:预提费用,,10000,贷方:银行存款 ,,10000
91, 结转本月份销售乙材料的成本30000元,借方:其它业务支出,,30000,贷方:原材料,,30000
92,银行存款支付本月份销售A、B产品的运输费、包装费、保险费等计15000元,借方:营业费用,,15000,贷方:银行存款 ,,15000
93,因对外投资收到投资单位分来的投资利润220000元，存入银行,借方:银行存款 ,,220000,贷方:投资收益,,220000
94,取得罚款收入3000元，存入银行,借方:银行存款 ,,3000,贷方:营业外收入,,3000
95,向希望工程捐赠人民币150000元，款项已通过银行支付,借方:营业外支出,,150000,贷方:银行存款 ,,150000
96,结转企业全年实现的净利润817704. 85元,借方:本年利润,,817704. 85,贷方:利润分配,,817704. 85
97,按净利润的10%提取法定盈余公积81770.49元,借方:利润分配,,81770.49,贷方:盈余公积,,81770.49
98,经董事会决定向投资者分配股利400000元,借方:利润分配,,400000,贷方:应付股利,,400000
